source,text,created_at,retweet_count,favorite_count,clean_text,year,month,day,year_month,day_of_week,hour_of_day,handle,word_count,trade_date,prev_change,change_pc,target,char_count,lemmas_token,lemmas_text,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,dominant_topic,compound_score,neg_score,neu_score,pos_score
Twitter for iPhone,We just got a BIG win for the people of Michigan. Open up your Churches and your Schools. Auto companies pouring in and expanding (thank you Mr. President!). Have fun! https://t.co/Bmj9f32DZV,2020-10-07 09:06:10-04:00,16981.0,56333.0,we just got a big win for the people of michigan open up your churches and your schools auto companies pouring in and expanding thank you mr president have fun,2020,10,7,2020-10,2,9,,30,2020-10-08,0.017406673399954276,0.008862510011077962,1,159,"['get', 'win', 'michigan', 'open', 'church', 'school', 'auto', 'company', 'pour', 'expand', 'mr', 'fun']",get win michigan open church school auto company pour expand mr fun,0.013,0.609,0.013,0.22,0.013,0.133,trade,0.8802,0.0,0.733,0.267
Twitter for iPhone,"...@senatemajldr Mitch McConnell not to delay, but to instead focus full time on approving my outstanding nominee to the United States Supreme Court, Amy Coney Barrett. Our Economy is doing very well. The Stock Market is at record levels, JOBS and unemployment...",2020-10-06 14:48:47-04:00,20599.0,98320.0,mitch mcconnell not to delay but to instead focus full time on approving my outstanding nominee to the united states supreme court amy coney barrett our economy is doing very well the stock market is at record levels jobs and unemployment,2020,10,6,2020-10,1,14,@senatemajldr,41,2020-10-07,-0.014215966734872687,0.017406673399954276,1,238,"['mitch', 'mcconnell', 'delay', 'instead', 'focus', 'approve', 'outstanding', 'nominee', 'united', 'state', 'supreme', 'court', 'amy', 'coney', 'barrett', 'economy', 'stock', 'market', 'record', 'level', 'job', 'unemployment']",mitch mcconnell delay instead focus approve outstanding nominee united state supreme court amy coney barrett economy stock market record level job unemployment,0.179,0.547,0.006999999999999999,0.006999999999999999,0.252,0.006999999999999999,trade,0.9415,0.066,0.615,0.319
Twitter for iPhone,"...also coming back in record numbers. We are leading the World in Economic Recovery, and THE BEST IS YET TO COME!",2020-10-06 14:48:47-04:00,22739.0,108710.0,also coming back in record numbers we are leading the world in economic recovery and the best is yet to come,2020,10,6,2020-10,1,14,,21,2020-10-07,-0.014215966734872687,0.017406673399954276,1,108,"['come', 'record', 'number', 'lead', 'world', 'economic', 'recovery', 'good', 'come']",come record number lead world economic recovery good come,0.017,0.916,0.017,0.017,0.017,0.017,trade,0.7371,0.0,0.7929999999999999,0.207
Twitter for iPhone,"I really appreciate all of the fans and supporters outside of the hospital. The fact is, they really love our Country and are seeing how we are MAKING IT GREATER THAN EVER BEFORE!",2020-10-04 15:51:14-04:00,91338.0,598824.0,i really appreciate all of the fans and supporters outside of the hospital the fact is they really love our country and are seeing how we are making it greater than ever before,2020,10,4,2020-10,6,15,,33,2020-10-05,-0.009494460344617428,0.01773308791915995,1,176,"['appreciate', 'fan', 'supporter', 'outside', 'hospital', 'fact', 'love', 'country', 'see', 'make', 'great']",appreciate fan supporter outside hospital fact love country see make great,0.014,0.518,0.014,0.014,0.014,0.425,trade,0.9314,0.0,0.6759999999999999,0.324
Twitter for iPhone,OUR GREAT USA WANTS &amp; NEEDS STIMULUS. WORK TOGETHER AND GET IT DONE. Thank you!,2020-10-03 13:46:48-04:00,93836.0,646636.0,our great usa wants needs stimulus work together and get it done thank you,2020,10,3,2020-10,5,13,,14,2020-10-04,-0.009494460344617428,0.01773308791915995,1,74,"['usa', 'want', 'need', 'stimulus', 'work']",usa want need stimulus work,0.028,0.861,0.028,0.028,0.028,0.028,trade,0.8236,0.0,0.63,0.37
Twitter for iPhone,"Just landed in Minnesota. Hasn’t been won by a Republican since 1972, and we saved Minneapolis. Also opened the massive and beautiful Iron Range, which Obama and Sleepy Joe closed.  Thousands of jobs started back. They will close again. How can we lose?",2020-09-30 17:50:51-04:00,26444.0,120885.0,just landed in minnesota hasn t been won by a republican since 1972 and we saved minneapolis also opened the massive and beautiful iron range which obama and sleepy joe closed thousands of jobs started back they will close again how can we lose,2020,9,30,2020-09,2,17,,44,2020-10-01,0.007581972012846715,0.00642000030965395,1,244,"['land', 'minnesota', 'hasn', 't', 'win', 'republican', 'save', 'minneapolis', 'open', 'massive', 'beautiful', 'iron', 'range', 'obama', 'sleepy', 'joe', 'closed', 'thousand', 'job', 'start', 'close', 'lose']",land minnesota hasn t win republican save minneapolis open massive beautiful iron range obama sleepy joe closed thousand job start close lose,0.008,0.453,0.308,0.008,0.008,0.217,trade,0.8271,0.052000000000000005,0.7490000000000001,0.2
Twitter for iPhone,"Obamacare will be replaced with a MUCH better, and FAR cheaper, alternative if it is terminated in the Supreme Court. Would be a big WIN for the USA!",2020-09-27 10:09:16-04:00,45056.0,217255.0,obamacare will be replaced with a much better and far cheaper alternative if it is terminated in the supreme court would be a big win for the usa,2020,9,27,2020-09,6,10,,28,2020-09-28,0.01616695826893344,0.016609347541438838,1,145,"['obamacare', 'replace', 'well', 'far', 'cheap', 'alternative', 'terminate', 'supreme', 'court', 'win', 'usa']",obamacare replace well far cheap alternative terminate supreme court win usa,0.218,0.726,0.014,0.014,0.014,0.014,trade,0.9067,0.0,0.688,0.312
Twitter for iPhone,"YES, for many years, and hundreds of times a year. He is a Senatorial JOKE! https://t.co/Yvtt9FWzZK",2020-09-27 09:50:22-04:00,17916.0,59279.0,yes for many years and hundreds of times a year he is a senatorial joke,2020,9,27,2020-09,6,9,,15,2020-09-28,0.01616695826893344,0.016609347541438838,1,71,"['yes', 'year', 'hundred', 'time', 'year', 'senatorial', 'joke']",yes year hundred time year senatorial joke,0.209,0.7070000000000001,0.021,0.021,0.021,0.021,trade,0.7689,0.0,0.6779999999999999,0.322
Twitter for iPhone,"Together, we are taking back our Country. We are returning power to YOU, the American People. With your help, your devotion, &amp; your drive, we are going to keep on working, we are going to keep on fighting, &amp; we are going to keep ON WINNING! Get out &amp; VOTE! https://t.co/gsFSgh2KPc https://t.co/oH6yltKd44",2020-09-26 21:23:23-04:00,13424.0,49109.0,together we are taking back our country we are returning power to you the american people with your help your devotion your drive we are going to keep on working we are going to keep on fighting we are going to keep on winning get out vote,2020,9,26,2020-09,5,21,,47,2020-09-27,0.01616695826893344,0.016609347541438838,1,239,"['take', 'country', 'return', 'power', 'help', 'devotion', 'drive', 'go', 'work', 'go', 'fighting', 'go', 'win', 'vote']",take country return power help devotion drive go work go fighting go win vote,0.011,0.787,0.011,0.011,0.011,0.168,trade,0.8367,0.040999999999999995,0.7879999999999999,0.171
Twitter for iPhone,"Based on the strong recommendation of @SenDanSullivan and @repdonyoung of the Great State of Alaska, it is my honor to inform you that I will be issuing a Presidential Permit for the A2A Cross-Border Rail between Alaska &amp; Canada. Congratulations to the people of Alaska &amp; Canada!",2020-09-26 00:15:54-04:00,21891.0,93034.0,based on the strong recommendation of and of the great state of alaska it is my honor to inform you that i will be issuing a presidential permit for the a2a cross border rail between alaska canada congratulations to the people of alaska canada,2020,9,26,2020-09,5,0,@SenDanSullivan,44,2020-09-27,0.01616695826893344,0.016609347541438838,1,243,"['base', 'strong', 'recommendation', 'state', 'alaska', 'honor', 'inform', 'issue', 'presidential', 'permit', 'a2a', 'cross', 'border', 'rail', 'alaska', 'canada', 'congratulation', 'alaska', 'canada']",base strong recommendation state alaska honor inform issue presidential permit a2a cross border rail alaska canada congratulation alaska canada,0.008,0.602,0.008,0.187,0.008,0.18600000000000005,trade,0.9412,0.0,0.7440000000000001,0.256
